Tier,Council,Region,DAIP status,Inclusion/DAIP contact,Econ Dev contact,General contact,Website
2,Shire of Harvey,South West,Access and Inclusion Plan 2021–2026 (refresh due 2026),not found — use general,not found — use general,"shire@harvey.wa.gov.au, (08) 9729 0300",https://www.harvey.wa.gov.au
2,Shire of Dardanup,South West,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"records@dardanup.wa.gov.au, (08) 9724 0000",https://www.dardanup.wa.gov.au
2,Shire of Boyup Brook,South West,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"shire@boyupbrook.wa.gov.au, (08) 9765 1200",https://www.boyupbrook.wa.gov.au
2,Shire of Bridgetown–Greenbushes,South West,DAIP Implementation Plan 2024–2025 published (DAIP 2020–2025 expired refresh due),not found — use general,not found — use general,"enquiries@shirebt.wa.gov.au, (08) 9761 0800",https://www.shirebt.wa.gov.au
2,Shire of Nannup,South West,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"info@nannup.wa.gov.au, (08) 9756 1018",https://www.nannup.wa.gov.au
2,Shire of Katanning,Great Southern,DAIP 2022–2027 current; mid-cycle,team only — DAIP document,not found — use general,"enquiries@katanning.wa.gov.au, (08) 9821 9999",https://www.katanning.wa.gov.au
2,Shire of Kojonup,Great Southern,DAIP 2020–2025 (expired refresh due),not found — use general,not found — use general,"shire@kojonup.wa.gov.au, (08) 9831 8600",https://www.kojonup.wa.gov.au
2,Shire of Cranbrook,Great Southern,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"mail@cranbrook.wa.gov.au, (08) 9826 1008",https://www.cranbrook.wa.gov.au
2,Shire of Gnowangerup,Great Southern,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"council@gnowangerup.wa.gov.au, (08) 9827 1007",https://www.gnowangerup.wa.gov.au
2,Shire of Broomehill–Tambellup,Great Southern,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"shire@broomehilltambellup.wa.gov.au, (08) 9825 3555",https://www.broomehilltambellup.wa.gov.au
2,Shire of Jerramungup,Great Southern,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"shire@jerramungup.wa.gov.au, (08) 9835 1022",https://www.jerramungup.wa.gov.au
2,Shire of Kent,Great Southern,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"shire@kent.wa.gov.au, (08) 9863 4011",https://www.kent.wa.gov.au
2,Shire of Woodanilling,Great Southern,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"shire@woodanilling.wa.gov.au, (08) 9823 1506",https://www.woodanilling.wa.gov.au
2,Shire of Northam,Wheatbelt,Access and Inclusion Plan 2024–2028 current; Wheatbelt regional hub,not found — use general,not found — use general,"council@northam.wa.gov.au, (08) 9622 6100",https://www.northam.wa.gov.au
2,Shire of York,Wheatbelt,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"council@york.wa.gov.au, (08) 9641 0500",https://www.york.wa.gov.au
2,Shire of Toodyay,Wheatbelt,DAIP 2020–2025 (expired refresh due); Changing Place facility delivered under DAIP,not found — use general,not found — use general,"records@toodyay.wa.gov.au, (08) 9574 9300",https://www.toodyay.wa.gov.au
2,Shire of Chittering,Wheatbelt,DAIP page presence in council documents; refresh cycle assumed,not found — use general,not found — use general,"council@chittering.wa.gov.au, (08) 9576 4600",https://www.chittering.wa.gov.au
2,Shire of Gingin,Wheatbelt,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"mail@gingin.wa.gov.au, (08) 9575 2211",https://www.gingin.wa.gov.au
2,Shire of Dandaragan,Wheatbelt,DAIP 2016–2020 published (significantly expired refresh overdue),not found — use general,not found — use general,"dandy@dandaragan.wa.gov.au, (08) 9652 0800",https://www.dandaragan.wa.gov.au
2,Shire of Carnarvon,Gascoyne,DAIP page presence not confirmed; statutory obligation applies; Gascoyne regional hub,not found — use general,not found — use general,"mail@carnarvon.wa.gov.au, (08) 9941 0000",https://www.carnarvon.wa.gov.au
2,Shire of Exmouth,Gascoyne,Access and Inclusion page live; refresh cycle assumed; tourism-heavy,not found — use general,not found — use general,"shire@exmouth.wa.gov.au, (08) 9949 3000",https://www.exmouth.wa.gov.au
2,Shire of Shark Bay,Gascoyne,DAIP page presence not confirmed; statutory obligation applies; World Heritage tourism area,not found — use general,not found — use general,"shire@sharkbay.wa.gov.au, (08) 9948 1218",https://www.sharkbay.wa.gov.au
2,Shire of Upper Gascoyne,Gascoyne,DAIP page presence not confirmed; statutory obligation applies; very small remote shire,not found — use general,not found — use general,"shire@uppergascoyne.wa.gov.au, (08) 9943 0988",https://www.uppergascoyne.wa.gov.au
2,Shire of Coolgardie,Goldfields-Esperance,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"mail@coolgardie.wa.gov.au, (08) 9080 2111",https://www.coolgardie.wa.gov.au
2,Shire of Northampton,Mid West,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"council@northampton.wa.gov.au, (08) 9934 1202",https://www.northampton.wa.gov.au
2,Shire of Chapman Valley,Mid West,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"mail@chapmanvalley.wa.gov.au, (08) 9920 5011",https://www.chapmanvalley.wa.gov.au
2,Shire of Irwin,Mid West,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"irwin@irwin.wa.gov.au, (08) 9927 0000",https://www.irwin.wa.gov.au
3,Shire of Beverley,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"admin@beverley.wa.gov.au, (08) 9646 1200",https://www.beverley.wa.gov.au
3,Shire of Brookton,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@brookton.wa.gov.au, (08) 9642 1106",https://www.brookton.wa.gov.au
3,Shire of Bruce Rock,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"brshire@brucerock.wa.gov.au, (08) 9061 1377",https://www.brucerock.wa.gov.au
3,Shire of Carnamah,Mid West,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@carnamah.wa.gov.au, (08) 9951 1055",https://www.carnamah.wa.gov.au
3,Shire of Coorow,Mid West,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@coorow.wa.gov.au, (08) 9952 0100",https://www.coorow.wa.gov.au
3,Shire of Corrigin,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"enquiries@corrigin.wa.gov.au, (08) 9063 2203",https://www.corrigin.wa.gov.au
3,Shire of Cuballing,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@cuballing.wa.gov.au, (08) 9883 6031",https://www.cuballing.wa.gov.au
3,Shire of Cue,Mid West,Statutory obligation; status unclear,not found — use general,not found — use general,"enquiries@cue.wa.gov.au, (08) 9963 1041",https://www.cue.wa.gov.au
3,Shire of Cunderdin,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@cunderdin.wa.gov.au, (08) 9635 1301",https://www.cunderdin.wa.gov.au
3,Shire of Dalwallinu,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"mail@dalwallinu.wa.gov.au, (08) 9661 0500",https://www.dalwallinu.wa.gov.au
3,Shire of Dowerin,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@dowerin.wa.gov.au, (08) 9631 1202",https://www.dowerin.wa.gov.au
3,Shire of Dumbleyung,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@dumbleyung.wa.gov.au, (08) 9863 4012",https://www.dumbleyung.wa.gov.au
3,Shire of Dundas,Goldfields-Esperance,Statutory obligation; status unclear,not found — use general,not found — use general,"reception@dundas.wa.gov.au, (08) 9039 1205",https://www.dundas.wa.gov.au
3,Shire of Goomalling,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@goomalling.wa.gov.au, (08) 9629 1101",https://www.goomalling.wa.gov.au
3,Shire of Kellerberrin,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@kellerberrin.wa.gov.au, (08) 9045 4006",https://www.kellerberrin.wa.gov.au
3,Shire of Kondinin,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@kondinin.wa.gov.au, (08) 9889 1006",https://www.kondinin.wa.gov.au
3,Shire of Koorda,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"council@koorda.wa.gov.au, (08) 9684 1219",https://www.koorda.wa.gov.au
3,Shire of Kulin,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@kulin.wa.gov.au, (08) 9880 1204",https://www.kulin.wa.gov.au
3,Shire of Lake Grace,Wheatbelt,DAIP 2019–2024 (expired); refresh due,not found — use general,not found — use general,"shire@lakegrace.wa.gov.au, (08) 9890 2500",https://www.lakegrace.wa.gov.au
3,Shire of Laverton,Goldfields-Esperance,Statutory obligation; status unclear,not found — use general,not found — use general,"mail@laverton.wa.gov.au, (08) 9031 1202",https://www.laverton.wa.gov.au
3,Shire of Leonora,Goldfields-Esperance,Statutory obligation; status unclear,not found — use general,not found — use general,"mail@leonora.wa.gov.au, (08) 9037 6044",https://www.leonora.wa.gov.au
3,Shire of Meekatharra,Mid West,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@meekashire.wa.gov.au, (08) 9981 1002",https://www.meekashire.wa.gov.au
3,Shire of Menzies,Goldfields-Esperance,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@menzies.wa.gov.au, (08) 9024 2702",https://www.menzies.wa.gov.au
3,Shire of Mingenew,Mid West,Statutory obligation; status unclear,not found — use general,not found — use general,"council@mingenew.wa.gov.au, (08) 9928 1102",https://www.mingenew.wa.gov.au
3,Shire of Moora,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@moora.wa.gov.au, (08) 9651 0000",https://www.moora.wa.gov.au
3,Shire of Morawa,Mid West,Statutory obligation; status unclear,not found — use general,not found — use general,"council@morawa.wa.gov.au, (08) 9971 1204",https://www.morawa.wa.gov.au
3,Shire of Mount Magnet,Mid West,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@mtmagnet.wa.gov.au, (08) 9963 4172",https://www.mtmagnet.wa.gov.au
3,Shire of Mount Marshall,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@mtmarshall.wa.gov.au, (08) 9685 1202",https://www.mtmarshall.wa.gov.au
3,Shire of Mukinbudin,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"mail@mukinbudin.wa.gov.au, (08) 9047 1102",https://www.mukinbudin.wa.gov.au
3,Shire of Murchison,Mid West,Statutory obligation; status unclear; Australia's only LGA with no town,not found — use general,not found — use general,"council@murchison.wa.gov.au, (08) 9961 3875",https://www.murchison.wa.gov.au
3,Shire of Narembeen,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"mail@narembeen.wa.gov.au, (08) 9064 7308",https://www.narembeen.wa.gov.au
3,Shire of Narrogin,Wheatbelt,DAIP page on disability services page; refresh cycle assumed,not found — use general,not found — use general,"enquiries@narrogin.wa.gov.au, (08) 9890 0900",https://www.narrogin.wa.gov.au
3,Shire of Ngaanyatjarraku,Goldfields-Esperance,Statutory obligation; status unclear; remote Aboriginal lands LGA,not found — use general,not found — use general,"reception@ngaanyatjarraku.wa.gov.au, (08) 8954 8005",https://www.ngaanyatjarraku.wa.gov.au
3,Shire of Nungarin,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"reception@nungarin.wa.gov.au, (08) 9046 5040",https://www.nungarin.wa.gov.au
3,Shire of Perenjori,Mid West,Statutory obligation; status unclear,not found — use general,not found — use general,"admin@perenjori.wa.gov.au, (08) 9973 0100",https://www.perenjori.wa.gov.au
3,Shire of Pingelly,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@pingelly.wa.gov.au, (08) 9887 1066",https://www.pingelly.wa.gov.au
3,Shire of Quairading,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"admin@quairading.wa.gov.au, (08) 9645 2400",https://www.quairading.wa.gov.au
3,Shire of Ravensthorpe,Goldfields-Esperance,Statutory obligation; status unclear; mining footprint (lithium nickel),not found — use general,not found — use general,"shire@ravensthorpe.wa.gov.au, (08) 9839 0000",https://www.ravensthorpe.wa.gov.au
3,Shire of Sandstone,Mid West,Statutory obligation; status unclear; small remote shire,not found — use general,not found — use general,"ceo@sandstone.wa.gov.au, (08) 9963 5802",https://www.sandstone.wa.gov.au
3,Shire of Tammin,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@tammin.wa.gov.au, (08) 9637 0300",https://www.tammin.wa.gov.au
3,Shire of Three Springs,Mid West,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@threesprings.wa.gov.au, (08) 9954 1002",https://www.threesprings.wa.gov.au
3,Shire of Trayning,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"enquiries@trayning.wa.gov.au, (08) 9683 1004",https://www.trayning.wa.gov.au
3,Shire of Victoria Plains,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@victoriaplains.wa.gov.au, (08) 9628 7004",https://www.victoriaplains.wa.gov.au
3,Shire of Wagin,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"mail@wagin.wa.gov.au, (08) 9861 1177",https://www.wagin.wa.gov.au
3,Shire of Wandering,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@wandering.wa.gov.au, (08) 9884 1056",https://www.wandering.wa.gov.au
3,Shire of West Arthur,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@westarthur.wa.gov.au, (08) 9736 2055",https://www.westarthur.wa.gov.au
3,Shire of Westonia,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"reception@westonia.wa.gov.au, (08) 9046 7063",https://www.westonia.wa.gov.au
3,Shire of Wickepin,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"wickepin@wickepin.wa.gov.au, (08) 9888 1005",https://www.wickepin.wa.gov.au
3,Shire of Williams,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"enquiries@williams.wa.gov.au, (08) 9885 1005",https://www.williams.wa.gov.au
3,Shire of Wiluna,Goldfields-Esperance,Statutory obligation; status unclear; remote gold mining footprint,not found — use general,not found — use general,"reception@wiluna.wa.gov.au, (08) 9981 8000",https://www.wiluna.wa.gov.au
3,Shire of Wongan-Ballidu,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"council@wongan.wa.gov.au, (08) 9671 1100",https://www.wongan.wa.gov.au
3,Shire of Wyalkatchem,Wheatbelt,Statutory obligation; status unclear,not found — use general,not found — use general,"wylkcrc@wylkcrc.net.au, (08) 9681 1166",https://www.wyalkatchem.wa.gov.au
3,Shire of Yalgoo,Mid West,Statutory obligation; status unclear,not found — use general,not found — use general,"shire@yalgoo.wa.gov.au, (08) 9962 8042",https://www.yalgoo.wa.gov.au
