SendOrder,Wave,PlannedSendDate,DateSent,ContactedPerson,Status,LastContactDate,NextActionDate,Notes,Hook,Tier,Council,Region,DAIP status,Send to,Inclusion/DAIP contact,Econ Dev contact,General contact,Website
11,3,2026-05-28,,,Not started,,,,"Inclusive Communities Action Plan 2026–2030, feedback closed 19 Apr 2026. Major metro. Ask for Inclusive Communities project lead.",1,City of Onkaparinga,Metro Adelaide / Fleurieu,"Draft Inclusive Communities Action Plan 2026–2030, feedback closed 19 April 2026",mail@onkaparinga.sa.gov.au (ask for Inclusive Communities project lead),Team only. Your Say Onkaparinga,"Ynys Onsman, Manager Strategy, Sustainability & Economic Growth (email via general); Economic Growth and Tourism team via /Business-support page","mail@onkaparinga.sa.gov.au, (08) 8384 0666",https://www.onkaparingacity.com
12,3,2026-05-28,,,Not started,,,,"DAIP 2026–2030, endorsement Mar 2026. Ask for Making Marion DAIP lead.",1,City of Marion,Metro Adelaide,"Draft DAIP 2026–2030, endorsement scheduled March 2026",council@marion.sa.gov.au (ask for Making Marion DAIP lead),Team only. Making Marion portal,"Daniel Adams, Unit Manager Economic Development (email via general)","council@marion.sa.gov.au, (08) 8375 6600",https://www.marion.sa.gov.au
13,3,2026-05-28,,,Not started,,,,"Draft closed 5 Jan 2026, in adoption. Limestone Coast cluster (after Mount Gambier + Robe).",1,District Council of Grant,Limestone Coast,"Draft DAIP 2026–2030, feedback closed 5 Jan 2026, in adoption",info@dcgrant.sa.gov.au (ask for Your Say DCG DAIP lead),Team only. Your Say DCG,"Economic Development Advisor, (08) 8721 0444, info@dcgrant.sa.gov.au (team email)","info@dcgrant.sa.gov.au, (08) 8721 0444",https://www.dcgrant.sa.gov.au
14,3,2026-05-28,,,Not started,,,,"Draft 2025–2029, community forum Nov 2025, in adoption. Affluent metro. Ask for engage.burnside DAIP lead.",1,City of Burnside,Metro Adelaide,"Draft DAIP 2025–2029 community forum Nov 2025, in adoption",burnside@burnside.sa.gov.au (ask for engage.burnside DAIP lead),Team only. engage.burnside,not found. Use general,"burnside@burnside.sa.gov.au, (08) 8366 4200",https://www.burnside.sa.gov.au
15,3,2026-05-28,,,Not started,,,,"Draft 2025–2029, consultation Nov 2025, in adoption. Ask for Your Say DAIP lead.",1,Mid Murray Council,Murray Mallee,Draft DAIP 2025–2029 in consultation Nov 2025; in adoption phase,postbox@mid-murray.sa.gov.au (ask for Your Say DAIP lead),Team only. Mid Murray Your Say,"Andy Glen, Tourism Manager (email via general). Economic development services provided by RDA Murraylands and Riverland","postbox@mid-murray.sa.gov.au, (08) 8569 0100",https://www.mid-murray.sa.gov.au
16,3,2026-05-28,,,Not started,,,,"DAIP 2025–2029 formally endorsed (5th DAIP — mature buyer). Ask for ASIAG coordinator.",1,City of Playford,Metro Adelaide,DAIP 2025–2029 formally endorsed (5th DAIP); Access & Social Inclusion Advisory Group active,playford@playford.sa.gov.au (ask for ASIAG coordinator),Team only. ASIAG,"Vesna Thon, Manager Business Development (email via general)","playford@playford.sa.gov.au, (08) 8256 0333",https://www.playford.sa.gov.au
17,4,2026-06-02,,,Not started,,,,"Draft Access & Inclusion Plan 2026–2030 in consultation early 2026. Ask for Your Say AIP 26–30 lead.",1,City of Tea Tree Gully,Metro Adelaide,Draft Access & Inclusion Plan 2026–2030 in consultation early 2026,cttg@cttg.sa.gov.au (ask for Your Say AIP 26–30 lead),Team only. Your Say portal,"Ingrid Wilkshire, Manager City Strategy (email via general). Economic development sits within City Strategy","cttg@cttg.sa.gov.au, (08) 8397 7444",https://www.teatreegully.sa.gov.au
18,4,2026-06-02,,,Not started,,,,"Draft DAIP (2nd iteration) in consultation late 2025 / early 2026. Ask for Community Wellbeing manager.",1,Coorong District Council,Murray Mallee,Draft DAIP (second iteration) in consultation late 2025 / early 2026,council@coorong.sa.gov.au (ask for Community Wellbeing manager),Team only,Not found. Use general. Tourism and Economic Development Plan sits with Community and Corporate directorate,"council@coorong.sa.gov.au, (08) 8572 3611",https://www.coorong.sa.gov.au
19,4,2026-06-02,,,Not started,,,,"Draft DAIP 2026–2030 opened 28 Oct 2025. Ask for community services lead.",1,Light Regional Council,Barossa / Lower North,Draft DAIP 2026–2030 opened for comment 28 Oct 2025,light@light.sa.gov.au (ask for community services lead),Team only,"Kieren Chappell, General Manager Economic Development (email via general); Darby Schultz, Project Manager Economic Development (email via general)","light@light.sa.gov.au, (08) 8525 3200",https://www.light.sa.gov.au
20,4,2026-06-02,,,Not started,,,,"Pre-draft Nov 2025–Feb 2026; draft due Apr 2026. Ask for Access & Inclusion Champion lead at engage.ahc.sa.gov.au.",1,Adelaide Hills Council,Adelaide Hills,Pre-draft consultation Nov 2025–Feb 2026; draft DAIP 2026–2030 due April 2026,mail@ahc.sa.gov.au (ask for Access & Inclusion Champion lead at engage.ahc.sa.gov.au),"Team only. Adelaide Hills Engagement Hub; Access & Inclusion Champion EOI open","Brett Mayne, Economic Development Officer (email via general); Manager Region and Place role covers eco dev + tourism + placemaking, reports to Jess Charlton, Director Community and Development","mail@ahc.sa.gov.au, (08) 8408 0400",https://www.ahc.sa.gov.au
21,4,2026-06-02,,,Not started,,,,"Draft DAIP 2026–2030 in consultation 2026. CEO Greg Georgopoulos drives ED directly. Ask for DAIP 2026–2030 consultation contact.",1,Kangaroo Island Council,Off-shore / Fleurieu,Draft DAIP 2026–2030 in consultation 2026,kicouncil@kicouncil.sa.gov.au (ask for DAIP 2026–2030 consultation contact),Team only,Not found. Use general (CEO Greg Georgopoulos drives economic development directly); tourism manager Megan Harvie sits at KI Tourism Alliance not council,"kicouncil@kicouncil.sa.gov.au, (08) 8553 4500",https://www.kangarooisland.sa.gov.au
22,5,2026-06-04,,,Not started,,,,"Lead council in 3-way alliance with Barunga West + Copper Coast. Ask for Regional Alliance DAIP coordinator.",1,Yorke Peninsula Council,Yorke Peninsula,Regional DAIP via Yorke Peninsula Regional Alliance (with Barunga West + Copper Coast); local action plan,admin@yorke.sa.gov.au (ask for Regional Alliance DAIP coordinator),Team only,"Brooke Liebelt, Economic Development & Tourism Officer (email via general); Jodie Terp, Manager Development (email via general)","admin@yorke.sa.gov.au, (08) 8832 0000",https://yorke.sa.gov.au
23,5,2026-06-04,,,Not started,,,,"Alliance member; named EDO already captured.",1,Copper Coast Council,Yorke Peninsula,Part of Yorke Peninsula Regional Alliance DAIP,"info@coppercoast.sa.gov.au — also Karla Walker, EDO via general",Team only,"Karla Walker, Economic Development Officer (email via general); Holly Cowan, Economic Development & Community Engagement Coordinator (email via general)","info@coppercoast.sa.gov.au, (08) 8828 1200",https://www.coppercoast.sa.gov.au
24,5,2026-06-04,,,Not started,,,,"Alliance member; smallest of the three.",1,Barunga West Council,Yorke Peninsula,Part of Yorke Peninsula Regional Alliance DAIP,council@barungawest.sa.gov.au,Team only,not found. Use general,"council@barungawest.sa.gov.au, (08) 8635 2107",https://www.barungawest.sa.gov.au
25,6,2026-06-09,,,Not started,,,,"DAIP review aligned to City Plan Adelaide 2036 underway. AEDA already named for ED. Ask for Manager Community Wellbeing / Inclusion.",2,City of Adelaide,Metro Adelaide,Access & Inclusion page live; DAIP review aligned to City Plan Adelaide 2036 underway,city@cityofadelaide.com.au (ask for Manager Community Wellbeing / Inclusion),not found. Use general,"Adelaide Economic Development Agency (AEDA). Greg Ratsch, Acting Managing Director; Tiffany Katchmar, Executive Manager Business and Investment; Level 1 Eagle Chambers 5 Pirie St; (08) 8203 7818; Economic Development Strategy team: EDS@cityofadelaide.com.au","city@cityofadelaide.com.au, (08) 8203 7203",https://www.cityofadelaide.com.au
26,6,2026-06-09,,,Not started,,,,"Ability Inclusion Strategic Plan + 4-yearly Inclusion Forum cycle. Ask for DAIN coordinator.",2,City of Salisbury,Metro Adelaide,Ability Inclusion Strategic Plan (DAIP equivalent); 4-yearly Inclusion Forum cycle,city@salisbury.sa.gov.au (ask for DAIN coordinator),not found. Use general,"Joseph John, Senior Economic Development Advisor (email via general); Joanne Owen, Development Manager Strategic Development Projects (email via general). Economic development sits within City Development directorate","city@salisbury.sa.gov.au, (08) 8406 8222",https://www.salisbury.sa.gov.au
27,6,2026-06-09,,,Not started,,,,"Large metro, refresh cycle assumed.",2,City of Port Adelaide Enfield,Metro Adelaide,DAIP page live; refresh cycle assumed,service@cityofpae.sa.gov.au,not found. Use general,"Jing Cao, Economic Development Officer (email via general); Senior Economic Development Officer role also exists","service@cityofpae.sa.gov.au, (08) 8405 6600",https://www.cityofpae.sa.gov.au
28,6,2026-06-09,,,Not started,,,,"Named ED contacts (Vanessa Leigh, Kristen Manson).",2,Rural City of Murray Bridge,Murray Mallee,"DAIP page live; period not publicly confirmed, likely due for refresh",council@murraybridge.sa.gov.au,not found. Use general,"Vanessa Leigh, Manager Economic Development (email via general); Kristen Manson, General Manager Growth and Economic Development (email via general)","council@murraybridge.sa.gov.au, (08) 8539 1100",https://www.murraybridge.sa.gov.au
29,6,2026-06-09,,,Not started,,,,"DAIP 2020–2024 expired. Upper Spencer Gulf hub. Named ED contact.",2,City of Whyalla,Eyre Peninsula / Upper Spencer Gulf,"DAIP 2020–2024 (expired, refresh due)","Jodie Perone, GM City Growth. jodie.perone@whyalla.sa.gov.au",not found. Use general,"Jodie Perone, General Manager City Growth, jodie.perone@whyalla.sa.gov.au, (08) 8640 3444. City Growth Directorate covers Economic Development + City Development + Community Development + Airport","council@whyalla.sa.gov.au, (08) 8640 3444",https://www.whyalla.sa.gov.au
30,6,2026-06-09,,,Not started,,,,"DAIP 2020–2024 expired, refresh due.",2,City of Mitcham,Metro Adelaide,DAIP 2020–2024 published; refresh due,mitcham@mitchamcouncil.sa.gov.au,not found. Use general,Not found. Use general (economic development sits within General Manager Community Safety & Development Services portfolio),"mitcham@mitchamcouncil.sa.gov.au, (08) 8372 8888",https://www.mitchamcouncil.sa.gov.au
31,6,2026-06-09,,,Not started,,,,"Refresh cycle assumed.",2,City of West Torrens,Metro Adelaide,DAIP page live; refresh cycle assumed,mail@wtcc.sa.gov.au,not found. Use general,Not found. Use general (economic development sits within Office of Mayor and CEO; CEO Terry Buss),"mail@wtcc.sa.gov.au, (08) 8416 6333",https://www.westtorrens.sa.gov.au
32,6,2026-06-09,,,Not started,,,,"Eyre Peninsula hub. Named ED contact.",2,City of Port Lincoln,Eyre Peninsula,DAIP listed in strategic plans index; refresh assumed,"plcc@plcc.sa.gov.au — also Naomi Blacker, Manager ED & Tourism",not found. Use general,"Naomi Blacker, Manager Economic Development & Tourism Growth (email via general)","plcc@plcc.sa.gov.au, (08) 8621 2300",https://www.portlincoln.sa.gov.au
33,6,2026-06-09,,,Not started,,,,"Coastal metro, beach access angle.",2,City of Holdfast Bay,Metro Adelaide,DAIP listed in management plans; refresh cycle assumed,mail@holdfast.sa.gov.au,not found. Use general,Not found. Use general (no dedicated Econ Dev Manager in published org chart; tourism / business support via Your Holdfast portal),"mail@holdfast.sa.gov.au, (08) 8229 9999",https://www.holdfast.sa.gov.au
34,6,2026-06-09,,,Not started,,,,"Refresh cycle assumed.",2,City of Norwood Payneham & St Peters,Metro Adelaide,Access & Inclusion Strategy on file (doc 229); refresh cycle assumed,townhall@npsp.sa.gov.au,not found. Use general,"Keke Michalos, Manager Economic Development & Strategic Projects (email via general)","townhall@npsp.sa.gov.au, (08) 8366 4555",https://www.npsp.sa.gov.au
35,6,2026-06-09,,,Not started,,,,"Draft 2026–2030 referenced in 2026 council resolutions.",2,Alexandrina Council,Fleurieu,"Previous DAIP 2021–2024; draft 2026–2030 referenced in 2026 council resolutions, current phase unclear","alex@alexandrina.sa.gov.au — also Lisa O'Donoghue, Manager ED",not found. Use general,"Lisa O'Donoghue, Manager Economic Development (email via general); Carol Cooney, Economic Development Coordinator (email via general)","alex@alexandrina.sa.gov.au, (08) 8555 7000",https://www.alexandrina.sa.gov.au
36,6,2026-06-09,,,Not started,,,,"Refresh cycle assumed. Named senior EDO.",2,City of Prospect,Metro Adelaide,DAIP listed under plans & strategies; refresh cycle assumed,admin@prospect.sa.gov.au,not found. Use general,"Tyson McLean, Senior Economic Development Officer (email via general); Economic Development Officer general line (08) 8269 5355, admin@prospect.sa.gov.au","admin@prospect.sa.gov.au, (08) 8269 5355",https://www.prospect.sa.gov.au
37,6,2026-06-09,,,Not started,,,,"2022 cycle, refresh due under 2025–2029 state plan.",2,City of Unley,Metro Adelaide,Previous DAIP draft cycle 2022; refresh due under 2025–2029 state plan,pobox1@unley.sa.gov.au,not found. Use general,Coordinator Economic Development role active (name not on public page); business team email: unleybusiness@unley.sa.gov.au,"pobox1@unley.sa.gov.au, (08) 8372 5111",https://www.unley.sa.gov.au
38,6,2026-06-09,,,Not started,,,,"Was in Barossa/Light/Lower North 2018–2023 regional DAIP, now lapsed.",2,Town of Gawler,Barossa / Lower North,DAIP amendments page on website; original part of Barossa/Light/Lower North regional DAIP 2018–2023; refresh needed,council@gawler.sa.gov.au,not found. Use general,Not found. Use general (Economic Development Officer role advertised; Gawler Business & Economic Development Committee Section 41 being formed),"council@gawler.sa.gov.au, (08) 8522 9211",https://www.gawler.sa.gov.au
39,6,2026-06-09,,,Not started,,,,"Same lapsed regional DAIP 2018–2023.",2,The Barossa Council,Barossa,Was part of regional DAIP 2018–2023 with Gawler/Light/Adelaide Plains; refresh due,barossa@barossa.sa.gov.au,not found. Use general,Not found. Use general (economic development sits within Strategy and Innovation directorate),"barossa@barossa.sa.gov.au, (08) 8563 8444",https://www.barossa.sa.gov.au
40,6,2026-06-09,,,Not started,,,,"Same lapsed regional DAIP 2018–2023. Named EDO.",2,Adelaide Plains Council,Central,Was part of regional DAIP 2018–2023; refresh due,info@apc.sa.gov.au,not found. Use general,"Anne Minion, Economic Development Officer (email via general); David Bailey, Manager Growth and Investment (email via general)","info@apc.sa.gov.au, (08) 8527 0200",https://www.apc.sa.gov.au
41,6,2026-06-09,,,Not started,,,,"Small metro, single email captures.",2,Town of Walkerville,Metro Adelaide,DAIP page live,walkerville@walkerville.sa.gov.au,not found. Use general,Not found. Use general (small council; Business and Economic Development department exists but no named officer on public web; CEO Dr Andrew Johnson),"walkerville@walkerville.sa.gov.au, (08) 8342 7100",https://www.walkerville.sa.gov.au
42,6,2026-06-09,,,Not started,,,,"Upper Spencer Gulf, 2025–2029 state plan refresh assumed.",2,Port Augusta City Council,Upper Spencer Gulf,DAIP page live; refresh under 2025–2029 state plan assumed,reception@portaugusta.sa.gov.au,not found. Use general,"Glen Christie, Tourism Manager (email via general); Melissa Kretschmer, Director City Services (email via general). Economic development sits within City Services","reception@portaugusta.sa.gov.au, (08) 8641 9100",https://www.portaugusta.sa.gov.au
43,7,2026-06-16,,,Not started,,,,"Fleurieu, refresh cycle assumed. Named manager.",2,District Council of Yankalilla,Fleurieu,DAIP page live; refresh cycle assumed,yankalilla@yankalilla.sa.gov.au,not found. Use general,"Darren Burgess, Manager Economy and Tourism (email via general); Group Manager Economy, Tourism and Community above (email via general); Agribusiness & Economic Engagement Officer also recruited","yankalilla@yankalilla.sa.gov.au, (08) 8558 0200",https://www.yankalilla.sa.gov.au
44,7,2026-06-16,,,Not started,,,,"Mid North, refresh cycle assumed. Named ED Marketing Officer.",2,Northern Areas Council,Mid North,Disability Action Plan listed; refresh cycle assumed,nacouncil@nacouncil.sa.gov.au,not found. Use general,"Hayley Bray, Economic Development Marketing Officer (email via general)","nacouncil@nacouncil.sa.gov.au, (08) 8636 2300",https://www.nacouncil.sa.gov.au
45,7,2026-06-16,,,Not started,,,,"Limestone Coast cluster (follow Mount Gambier + Grant + Robe).",2,Wattle Range Council,Limestone Coast,DAIP page live; refresh cycle assumed,council@wattlerange.sa.gov.au,not found. Use general,"Not found. Use general (Emma Clay, Director Development Services covers economic development portfolio)","council@wattlerange.sa.gov.au, (08) 8733 0900",https://www.wattlerange.sa.gov.au
46,7,2026-06-16,,,Not started,,,,"Limestone Coast cluster.",2,Naracoorte Lucindale Council,Limestone Coast,DAIP page live; refresh cycle assumed,council@nlc.sa.gov.au,not found. Use general,Not found. Use general (Economic (Business) Development service line live but no named officer on public web),"council@nlc.sa.gov.au, (08) 8760 1100",https://www.naracoortelucindale.sa.gov.au
47,7,2026-06-16,,,Not started,,,,"Limestone Coast cluster.",2,Kingston District Council,Limestone Coast,DAIP page live; refresh cycle assumed,council@kingstondc.sa.gov.au,not found. Use general,not found. Use general,"council@kingstondc.sa.gov.au, (08) 8767 2033",https://www.kingstondc.sa.gov.au
48,7,2026-06-16,,,Not started,,,,"Limestone Coast cluster.",2,Tatiara District Council,Limestone Coast,DAIP listed in council plans; refresh cycle assumed,tatiara@tatiara.sa.gov.au,not found. Use general,Not found. Use general (Tatiara Economic Development Committee active; no named officer on public web),"tatiara@tatiara.sa.gov.au, (08) 8757 2100",https://www.tatiara.sa.gov.au
49,7,2026-06-16,,,Not started,,,,"Mid North.",2,Clare and Gilbert Valleys Council,Mid North,DAIP page live; refresh cycle assumed,admin@cgvc.sa.gov.au,not found. Use general,Not found. Use general (CEO David Stobbe; Director Corporate Services Dallis Von Wald. Economic Development Plan in place but no dedicated officer on public org chart),"admin@cgvc.sa.gov.au, (08) 8842 6400",https://www.claregilbertvalleys.sa.gov.au
50,7,2026-06-16,,,Not started,,,,"Mid North.",2,Regional Council of Goyder,Mid North,DAIP page live; refresh cycle assumed,council@goyder.sa.gov.au,not found. Use general,not found. Use general,"council@goyder.sa.gov.au, (08) 8892 0100",https://www.goyder.sa.gov.au
51,7,2026-06-16,,,Not started,,,,"Mid North.",2,Wakefield Regional Council,Mid North,DAIP page live; refresh cycle assumed,admin@wrc.sa.gov.au,not found. Use general,not found. Use general,"admin@wrc.sa.gov.au, (08) 8862 0800",https://www.wrc.sa.gov.au
52,7,2026-06-16,,,Not started,,,,"Mid North, DAIP 2020–2024 expired.",2,District Council of Mount Remarkable,Mid North,"DAIP 2020–2024 (expired, refresh due)",postmaster@mtr.sa.gov.au,not found. Use general,not found. Use general,"postmaster@mtr.sa.gov.au, (08) 8666 2014",https://www.mtr.sa.gov.au
53,7,2026-06-16,,,Not started,,,,"Mid North.",2,District Council of Peterborough,Mid North,DAIP page live,council@peterborough.sa.gov.au,not found. Use general,not found. Use general,"council@peterborough.sa.gov.au, (08) 8651 3566",https://www.peterborough.sa.gov.au
54,7,2026-06-16,,,Not started,,,,"Mid North. DAIP status unclear.",2,District Council of Orroroo Carrieton,Mid North,Plans & reports page; DAIP status unclear,dcoc@orroroo.sa.gov.au,not found. Use general,not found. Use general,"dcoc@orroroo.sa.gov.au, (08) 8658 1260",https://www.orroroo.sa.gov.au
55,7,2026-06-16,,,Not started,,,,"Flinders / Outback. Strategic docs reference DAIP.",2,The Flinders Ranges Council,Flinders / Outback,Strategic documents page references DAIP; refresh cycle assumed,mail@frc.sa.gov.au,not found. Use general,not found. Use general,"mail@frc.sa.gov.au, (08) 8620 0500",https://www.frc.sa.gov.au
56,7,2026-06-16,,,Not started,,,,"Murray Mallee.",2,District Council of Karoonda East Murray,Murray Mallee,DAIP page live,dckem@dckem.sa.gov.au,not found. Use general,not found. Use general,"dckem@dckem.sa.gov.au, (08) 8578 1004",https://www.dckem.sa.gov.au
57,7,2026-06-16,,,Not started,,,,"Murray Mallee, 2020–2024 expired.",2,Southern Mallee District Council,Murray Mallee,"DAIP 2020–2024 (expired, refresh due)",council@southernmallee.sa.gov.au,not found. Use general,not found. Use general,"council@southernmallee.sa.gov.au, (08) 8577 8002",https://www.southernmallee.sa.gov.au
58,8,2026-06-23,,,Not started,,,,"Eyre Peninsula. Named GM Prosperity.",2,District Council of Streaky Bay,Eyre Peninsula,DAIP page live,"council@streakybay.sa.gov.au — also Penny Williams, GM Prosperity",not found. Use general,"Penny Williams, General Manager of Prosperity (email via general). Prosperity portfolio covers economic growth, tourism, planning","council@streakybay.sa.gov.au, (08) 8626 1001",https://www.streakybay.sa.gov.au
59,8,2026-06-23,,,Not started,,,,"Eyre Peninsula. Named Manager Economic & Community Development.",2,Wudinna District Council,Eyre Peninsula,Plans & publications page live,"wdc@wudinna.sa.gov.au — also Matthew Hawson, Manager Economic & Community Development",not found. Use general,"Matthew Hawson, Manager Economic & Community Development (email via general)","wdc@wudinna.sa.gov.au, (08) 8680 2002",https://www.wudinna.sa.gov.au
60,8,2026-06-23,,,Not started,,,,"Eyre Peninsula. DAIP status unclear.",2,District Council of Ceduna,Eyre Peninsula,Plans index live; DAIP status unclear,council@ceduna.sa.gov.au,not found. Use general,not found. Use general,"council@ceduna.sa.gov.au, (08) 8625 3407",https://www.ceduna.sa.gov.au
61,8,2026-06-23,,,Not started,,,,"Eyre Peninsula.",2,District Council of Elliston,Eyre Peninsula,DAIP page live,council@elliston.sa.gov.au,not found. Use general,not found. Use general,"council@elliston.sa.gov.au, (08) 8687 9177",https://www.elliston.sa.gov.au
62,8,2026-06-23,,,Not started,,,,"Eyre Peninsula.",2,District Council of Tumby Bay,Eyre Peninsula,DAIP page live,dctumby@tumbybay.sa.gov.au,not found. Use general,not found. Use general,"dctumby@tumbybay.sa.gov.au, (08) 8688 2101",https://www.tumbybay.sa.gov.au
63,8,2026-06-23,,,Not started,,,,"Eyre Peninsula.",2,District Council of Lower Eyre Peninsula,Eyre Peninsula,DAIP referenced via council search,dclep@dclep.sa.gov.au,not found. Use general,not found. Use general,"dclep@dclep.sa.gov.au, (08) 8676 0400",https://www.lowereyrepeninsula.sa.gov.au
64,8,2026-06-23,,,Not started,,,,"Eyre Peninsula.",2,District Council of Cleve,Eyre Peninsula,Plans page live,dccleve@cleve.sa.gov.au,not found. Use general,not found. Use general,"dccleve@cleve.sa.gov.au, (08) 8628 2004",https://www.cleve.sa.gov.au
65,8,2026-06-23,,,Not started,,,,"Eyre Peninsula.",2,District Council of Franklin Harbour,Eyre Peninsula,Documents page live,franklinharbour@franklinharbour.sa.gov.au,not found. Use general,not found. Use general,"franklinharbour@franklinharbour.sa.gov.au, (08) 8629 2019",https://www.franklinharbour.sa.gov.au
66,8,2026-06-23,,,Not started,,,,"Eyre Peninsula. DAIP status unclear.",2,District Council of Kimba,Eyre Peninsula,Policies page live; DAIP status unclear,council@kimba.sa.gov.au,not found. Use general,not found. Use general,"council@kimba.sa.gov.au, (08) 8627 2026",https://www.kimba.sa.gov.au
67,9,2026-06-30,,,Not started,,,,"Has DAIP 2026–2030 published — actually well-positioned, just remote.",3,District Council of Coober Pedy,Outback / Far North,DAIP 2026–2030 published,dccp@cooberpedy.sa.gov.au,not found. Use general,not found. Use general,"dccp@cooberpedy.sa.gov.au, (08) 8672 4600",https://www.cooberpedy.sa.gov.au
